,time,Power Generation Instant (MW),Amb. Temp Instant,GTI Instant,Humidity Instant,day
131,2023-01-10 18:39:19,-0.0732,15.8,0.0,68.9393,10
132,2023-01-10 18:34:09,-0.0734,15.82,0.0,68.4301,10
133,2023-01-10 18:29:08,-0.0757,15.9,0.0,67.4993,10
134,2023-01-10 18:24:07,-0.074,15.9,0.0,67.0779,10
135,2023-01-10 18:18:57,-0.0745,15.9,0.0,66.7765,10
136,2023-01-10 18:13:56,-0.0755,15.93,0.0,66.9272,10
137,2023-01-10 18:08:56,-0.0739,15.93,0.0,63.7759,10
138,2023-01-10 18:03:55,-0.0744,16.26,0.0,64.2933,10
139,2023-01-10 17:58:55,-0.0749,16.46,0.0,67.2285,10
140,2023-01-10 17:53:54,-0.0803,16.35,0.4993,67.3188,10
141,2023-01-10 17:48:51,-0.0794,16.14,0.5146,67.9501,10
142,2023-01-10 17:43:47,-0.0782,15.97,0.1857,68.8495,10
143,2023-01-10 17:38:37,-0.0786,15.92,0.0,68.3401,10
144,2023-01-10 17:33:37,-0.0792,16.01,0.042,67.7999,10
145,2023-01-10 17:28:27,-0.0783,16.13,0.0,66.9875,10
146,2023-01-10 17:23:27,-0.0794,16.22,0.0,66.4748,10
147,2023-01-10 17:18:23,-0.0778,16.35,0.0,65.7495,10
148,2023-01-10 17:13:23,-0.0781,16.5,0.0,66.3541,10
149,2023-01-10 17:08:22,-0.0782,16.64,0.0,63.5625,10
150,2023-01-10 17:03:12,-0.0774,16.8,0.0,62.9826,10
151,2023-01-10 16:58:11,-0.0776,16.92,0.0,63.7149,10
152,2023-01-10 16:53:10,-0.0771,16.84,0.0,62.2485,10
153,2023-01-10 16:48:10,-0.0786,16.95,0.2695,63.6235,10
154,2023-01-10 16:43:09,-0.0755,17.05,0.0,63.5015,10
155,2023-01-10 16:37:59,-0.0772,17.18,0.0,63.0437,10
156,2023-01-10 16:32:50,-0.0777,17.16,0.0,61.8194,10
157,2023-01-10 16:27:40,-0.0794,17.26,0.0,63.989,10
158,2023-01-10 16:22:30,-0.0803,17.33,0.0,60.7748,10
159,2023-01-10 16:17:29,-0.0788,17.54,0.0,61.7581,10
160,2023-01-10 16:12:29,-0.0789,17.75,0.0,61.8808,10
161,2023-01-10 16:07:19,-0.079,17.86,0.0,59.9735,10
162,2023-01-10 16:02:09,-0.0784,18.07,0.0,60.2203,10
163,2023-01-10 15:57:09,-0.0784,18.26,0.0,63.1353,10
164,2023-01-10 15:52:08,-0.0783,18.24,0.0,61.7888,10
165,2023-01-10 15:47:08,-0.078,18.14,0.0,60.0969,10
166,2023-01-10 15:41:57,-0.0787,18.08,0.0,58.1471,10
167,2023-01-10 15:36:48,-0.077,18.08,0.0,57.9608,10
168,2023-01-10 15:31:47,-0.0765,18.16,0.0,59.2628,10
169,2023-01-10 15:26:37,-0.0779,18.26,0.0,60.4052,10
170,2023-01-10 15:21:27,-0.0797,18.4,0.0,60.2511,10
171,2023-01-10 15:16:26,-0.0804,18.46,0.0,58.3333,10
172,2023-01-10 15:11:26,-0.0797,18.7,0.0,57.681,10
173,2023-01-10 15:06:25,-0.0791,18.92,0.0,57.9297,10
174,2023-01-10 15:01:25,-0.0796,19.19,0.0,58.7365,10
175,2023-01-10 14:56:21,-0.0787,19.38,0.0,57.9608,10
176,2023-01-10 14:51:21,-0.0786,19.5,0.0,57.3076,10
177,2023-01-10 14:46:08,-0.078,19.46,0.0,56.8714,10
178,2023-01-10 14:41:08,-0.078,19.41,0.0,56.2472,10
179,2023-01-10 14:36:07,-0.0733,19.5,0.0,55.0577,10
180,2023-01-10 14:30:57,-0.0731,19.88,0.0,53.3594,10
181,2023-01-10 14:25:56,-0.0728,20.17,0.0,57.2142,10
182,2023-01-10 14:20:56,-0.0717,20.25,0.0,56.4346,10
183,2023-01-10 14:15:46,-0.0715,20.47,0.0,55.653,10
184,2023-01-10 14:10:36,-0.0719,20.74,0.0,53.0754,10
185,2023-01-10 14:05:36,-0.0722,20.98,0.0,50.5719,10
186,2023-01-10 14:00:26,-0.0719,21.24,0.0,49.9031,10
187,2023-01-10 13:55:25,-0.071,21.43,0.0,49.105,10
188,2023-01-10 13:50:25,-0.0719,21.56,0.0,48.6253,10
189,2023-01-10 13:45:15,-0.0707,21.68,0.0,47.6956,10
190,2023-01-10 13:40:15,-0.0707,21.91,0.0,46.8277,10
191,2023-01-10 13:35:14,-0.0703,22.22,0.0,45.6992,10
192,2023-01-10 13:30:13,-0.0715,22.47,0.0,45.2467,10
193,2023-01-10 13:25:13,-0.0711,22.73,0.0,44.4696,10
194,2023-01-10 13:20:12,-0.0716,23.0,0.0,42.9098,10
195,2023-01-10 13:15:11,-0.0707,23.09,0.0,42.812,10
196,2023-01-10 13:10:01,-0.0691,23.21,0.0,42.3556,10
197,2023-01-10 13:05:00,-0.0699,23.63,0.0,40.9169,10
198,2023-01-10 12:59:50,-0.069,24.1,0.0,39.5708,10
199,2023-01-10 12:54:40,-0.0889,24.55,0.0,38.1203,10
200,2023-01-10 12:49:39,-0.0942,25.06,0.0,36.7963,10
201,2023-01-10 12:44:29,-0.0883,25.45,0.0,36.1988,10
202,2023-01-10 12:39:19,-0.0614,25.81,0.0,35.4006,10
203,2023-01-10 12:34:18,-0.0015,26.22,2.1604,34.4003,10
204,2023-01-10 12:29:18,0.0942,26.58,6.1623,33.2631,10
205,2023-01-10 12:24:08,0.2594,26.95,16.8765,32.4917,10
206,2023-01-10 12:19:06,0.4143,27.4,29.1493,31.5167,10
207,2023-01-10 12:13:56,0.6233,27.81,46.573,30.5728,10
208,2023-01-10 12:08:55,0.8012,28.15,65.2116,30.0323,10
209,2023-01-10 12:03:54,0.9902,28.47,82.3766,29.2201,10
210,2023-01-10 11:58:54,1.2196,28.68,103.9431,28.7793,10
211,2023-01-10 11:53:53,1.422,28.88,124.3109,28.6775,10
212,2023-01-10 11:48:52,1.6436,29.16,147.3074,28.5418,10
213,2023-01-10 11:43:42,2.031,29.31,169.3108,28.406,10
214,2023-01-10 11:38:41,2.7536,29.46,195.6378,28.4739,10
215,2023-01-10 11:33:41,3.6134,29.39,214.9157,28.7115,10
216,2023-01-10 11:28:37,4.7618,29.7,241.6882,27.59,10
217,2023-01-10 11:23:36,5.94,29.91,265.2783,26.8405,10
218,2023-01-10 11:18:26,7.1119,30.09,291.9298,26.2261,10
219,2023-01-10 11:13:26,7.974,30.07,315.7699,25.8159,10
220,2023-01-10 11:08:25,8.7877,30.14,332.0305,25.3025,10
221,2023-01-10 11:03:21,9.4104,30.42,357.3827,24.308,10
222,2023-01-10 10:58:20,10.1227,30.4,375.8098,25.3368,10
223,2023-01-10 10:53:19,10.7116,30.82,397.4252,24.857,10
224,2023-01-10 10:48:09,11.4405,31.03,422.5572,24.7885,10
225,2023-01-10 10:43:01,12.2428,31.01,444.4413,24.1019,10
226,2023-01-10 10:38:01,12.9946,30.97,471.3604,23.9644,10
227,2023-01-10 10:32:57,13.7929,30.83,494.5571,24.5483,10
228,2023-01-10 10:27:56,14.3946,30.48,515.0707,24.7885,10
229,2023-01-10 10:22:53,15.0524,30.57,536.9055,24.7885,10
230,2023-01-10 10:17:52,15.7064,30.98,556.2908,23.7582,10
231,2023-01-10 10:12:51,16.2953,31.45,577.8622,22.3109,10
232,2023-01-10 10:07:48,16.8307,31.7,593.8069,21.5506,10
233,2023-01-10 10:02:38,17.5291,31.69,623.8968,22.4835,10
234,2023-01-10 09:57:34,18.0998,31.64,638.6275,22.1728,10
235,2023-01-10 09:52:34,18.5869,31.7,655.4679,22.587,10
236,2023-01-10 09:47:33,19.0759,31.6,675.9921,22.2764,10
237,2023-01-10 09:42:32,19.5463,31.36,694.5574,22.4145,10
238,2023-01-10 09:37:32,20.0009,31.36,709.9892,23.3452,10
239,2023-01-10 09:32:30,20.4272,31.42,726.9859,23.0697,10
240,2023-01-10 09:27:20,20.9298,31.24,751.2862,23.2764,10
241,2023-01-10 09:22:19,21.3796,31.12,764.2211,22.656,10
242,2023-01-10 09:17:18,21.7717,31.1,782.4651,23.3452,10
243,2023-01-10 09:12:08,22.318,31.54,791.6016,22.6215,10
244,2023-01-10 09:07:08,22.7372,31.34,812.3584,23.2075,10
245,2023-01-10 09:02:07,23.1067,30.9,824.7698,24.0675,10
246,2023-01-10 08:57:03,23.2751,31.41,839.1763,22.8629,10
247,2023-01-10 08:52:03,23.775,31.14,857.2686,24.4453,10
248,2023-01-10 08:46:58,23.8788,31.02,866.7216,23.6894,10
249,2023-01-10 08:41:57,24.1795,31.46,870.5849,23.8269,10
250,2023-01-10 08:36:57,24.5572,31.27,885.7157,24.2393,10
251,2023-01-10 08:31:53,25.0229,31.21,902.8211,23.8957,10
252,2023-01-10 08:26:52,25.0378,30.82,905.8935,25.4737,10
253,2023-01-10 08:21:51,25.2939,30.1,910.3672,28.1682,10
254,2023-01-10 08:16:51,25.4773,29.96,922.0953,29.0845,10
255,2023-01-10 08:10:57,25.7864,30.27,951.0316,28.1342,10
256,2023-01-10 08:05:46,25.9049,30.54,941.4729,28.6775,10
257,2023-01-10 08:00:36,25.9208,30.41,942.8502,28.2701,10
258,2023-01-10 07:55:25,26.1347,30.08,946.9098,29.6941,10
259,2023-01-10 07:50:15,26.5278,29.79,969.8575,30.1675,10
260,2023-01-10 07:45:04,26.8363,29.25,967.1643,30.3702,10
261,2023-01-10 07:39:54,27.1288,29.59,976.6608,29.9647,10
262,2023-01-10 07:34:43,27.0191,29.33,997.0289,30.2689,10
263,2023-01-10 07:29:33,27.1561,29.43,985.8126,30.3027,10
264,2023-01-10 07:24:22,27.1623,29.67,994.3156,29.6941,10
265,2023-01-10 07:19:12,27.1893,29.49,1000.9747,29.0845,10
266,2023-01-10 07:14:02,27.4559,29.73,1018.0746,29.5587,10
267,2023-01-10 07:08:51,27.6217,29.88,986.1837,29.2201,10
268,2023-01-10 07:03:40,27.7321,29.65,985.7742,29.3556,10
269,2023-01-10 06:58:30,27.5526,29.47,973.9326,29.3556,10
270,2023-01-10 06:53:19,27.8459,29.35,1024.9873,31.5167,10
271,2023-01-10 06:48:09,27.6221,28.72,993.2079,32.6595,10
272,2023-01-10 06:42:58,27.5909,28.44,999.3465,34.3335,10
273,2023-01-10 06:37:48,27.6776,28.42,985.8211,35.2008,10
274,2023-01-10 06:32:38,27.6978,28.57,1012.5977,33.397,10
275,2023-01-10 06:27:27,27.785,28.14,991.0649,35.1341,10
276,2023-01-10 06:22:17,27.6635,28.12,992.4163,35.2674,10
277,2023-01-10 06:17:06,27.4066,28.14,1003.8738,34.8007,10
278,2023-01-10 06:11:56,27.4716,27.92,990.3057,37.1609,10
279,2023-01-10 06:06:45,27.2132,27.85,986.4894,36.7963,10
280,2023-01-10 06:01:35,26.8006,27.84,981.7532,36.4645,10
281,2023-01-10 05:56:24,27.0016,27.78,955.8698,36.3317,10
282,2023-01-10 05:51:14,26.9637,27.67,963.3447,36.1656,10
283,2023-01-10 05:46:03,26.5572,27.56,943.3226,37.5582,10
284,2023-01-10 05:40:53,26.3131,27.37,929.8008,36.3981,10
285,2023-01-10 05:35:42,26.1216,27.2,917.9733,37.1278,10
286,2023-01-10 05:30:32,25.8367,26.91,915.606,37.2934,10
287,2023-01-10 05:25:22,25.5477,26.72,891.6832,36.9952,10
288,2023-01-10 05:20:11,25.2182,26.78,891.088,38.8463,10
289,2023-01-10 05:15:00,25.1037,26.75,875.2769,42.1271,10
290,2023-01-10 05:09:50,24.6949,26.65,862.2195,42.8446,10
291,2023-01-10 05:04:40,24.4798,27.0,847.3531,43.6906,10
292,2023-01-10 04:59:29,24.0361,26.78,836.0022,43.8855,10
293,2023-01-10 04:54:18,23.7251,26.6,816.975,44.9231,10
